127.0.0.1 - - [07/Feb/2025:09:24:00 -0300] "GET /citMobi2/swagger-ui/favicon-16x16.png HTTP/1.1" 200 665
127.0.0.1 - - [07/Feb/2025:09:24:00 -0300] "GET /citMobi2/v3/api-docs/swagger-config HTTP/1.1" 200 196
127.0.0.1 - - [07/Feb/2025:09:24:01 -0300] "GET /citMobi2/v3/api-docs HTTP/1.1" 200 8030
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/index.html HTTP/1.1" 200 734
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/swagger-ui.css HTTP/1.1" 200 152071
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/index.css HTTP/1.1" 200 202
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/swagger-ui-standalone-preset.js HTTP/1.1" 200 230293
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/swagger-ui-bundle.js HTTP/1.1" 200 1452753
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/swagger-initializer.js HTTP/1.1" 200 624
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/swagger-ui/favicon-16x16.png HTTP/1.1" 200 665
127.0.0.1 - - [07/Feb/2025:09:43:13 -0300] "GET /citMobi2/v3/api-docs/swagger-config HTTP/1.1" 200 196
127.0.0.1 - - [07/Feb/2025:09:43:14 -0300] "GET /citMobi2/v3/api-docs HTTP/1.1" 200 7501
0:0:0:0:0:0:0:1 - - [07/Feb/2025:09:43:58 -0300] "GET /citMobi2/api/paradas?logradouro=R.%20Bresser&municipio=3550308 HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [07/Feb/2025:09:44:25 -0300] "GET /citMobi2/api/linha?municipio=3550308&atendimento=10&linha=372F HTTP/1.1" 202 369
0:0:0:0:0:0:0:1 - - [07/Feb/2025:09:46:03 -0300] "GET /citMobi2/api/rota?linha=372F&atendimento=10&municipio=3550308 HTTP/1.1" 404 117
0:0:0:0:0:0:0:1 - - [07/Feb/2025:09:46:30 -0300] "GET /citMobi2/api/rotas?linha=372F&atendimento=10&municipio=3550308 HTTP/1.1" 200 1409
127.0.0.1 - - [07/Feb/2025:09:57:45 -0300] "GET /citMobi2/swagger-ui/index.html HTTP/1.1" 200 734
127.0.0.1 - - [07/Feb/2025:09:57:45 -0300] "GET /citMobi2/swagger-ui/swagger-ui.css HTTP/1.1" 200 152071
127.0.0.1 - - [07/Feb/2025:09:57:45 -0300] "GET /citMobi2/swagger-ui/index.css HTTP/1.1" 200 202
127.0.0.1 - - [07/Feb/2025:09:57:46 -0300] "GET /citMobi2/swagger-ui/swagger-ui-standalone-preset.js HTTP/1.1" 200 230293
127.0.0.1 - - [07/Feb/2025:09:57:46 -0300] "GET /citMobi2/swagger-ui/swagger-ui-bundle.js HTTP/1.1" 200 1452753
127.0.0.1 - - [07/Feb/2025:09:57:46 -0300] "GET /citMobi2/swagger-ui/swagger-initializer.js HTTP/1.1" 200 624
127.0.0.1 - - [07/Feb/2025:09:57:46 -0300] "GET /citMobi2/swagger-ui/favicon-16x16.png HTTP/1.1" 200 665
127.0.0.1 - - [07/Feb/2025:09:57:46 -0300] "GET /citMobi2/v3/api-docs/swagger-config HTTP/1.1" 200 196
127.0.0.1 - - [07/Feb/2025:09:57:47 -0300] "GET /citMobi2/v3/api-docs HTTP/1.1" 200 7501
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/index.html HTTP/1.1" 200 734
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/swagger-ui.css HTTP/1.1" 200 152071
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/index.css HTTP/1.1" 200 202
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/swagger-ui-standalone-preset.js HTTP/1.1" 200 230293
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/swagger-ui-bundle.js HTTP/1.1" 200 1452753
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/swagger-initializer.js HTTP/1.1" 200 624
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/swagger-ui/favicon-16x16.png HTTP/1.1" 200 665
127.0.0.1 - - [07/Feb/2025:10:01:22 -0300] "GET /citMobi2/v3/api-docs/swagger-config HTTP/1.1" 200 196
127.0.0.1 - - [07/Feb/2025:10:01:23 -0300] "GET /citMobi2/v3/api-docs HTTP/1.1" 200 7699
